sha,message,author,date,url,code_size
d6e7501dad9a3db938b431fdc9c6a0ab3eafb2b9,"refactored contour code

svn path=/trunk/matplotlib/; revision=1060",jdh2358,03/10/2005 04:34:20 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/d6e7501dad9a3db938b431fdc9c6a0ab3eafb2b9,7678403
3172a485d5e143469d401127fc6bea3e8be23da5,"updated backend_bases draw_markers doc

svn path=/trunk/matplotlib/; revision=1059",jdh2358,03/10/2005 04:42:56 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/3172a485d5e143469d401127fc6bea3e8be23da5,7674089
f46ba6d3e9b4d96de360ac0307c2ddedb6f0ee15,"removed path

svn path=/trunk/matplotlib/; revision=1058",jdh2358,03/10/2005 04:39:46 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/f46ba6d3e9b4d96de360ac0307c2ddedb6f0ee15,7674087
1fbbe3ce41363b5760c08d83c5f7aa8840a3a2cf,"more contour patches applied

svn path=/trunk/matplotlib/; revision=1057",jdh2358,03/10/2005 04:28:40 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/1fbbe3ce41363b5760c08d83c5f7aa8840a3a2cf,7674919
50632d24b746c0e7f0cc6ae9ff67e2596492145e,"moved colorbar to API

svn path=/trunk/matplotlib/; revision=1056",jdh2358,03/09/2005 09:02:21 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/50632d24b746c0e7f0cc6ae9ff67e2596492145e,7651172
da410af402b29d5fb1e53cbcfd5d634ec7ae0d3e,"SC 2005/03/09

svn path=/trunk/matplotlib/; revision=1055",N/A,03/09/2005 03:53:23 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/da410af402b29d5fb1e53cbcfd5d634ec7ae0d3e,7650039
3f20c60c060b2efc2b308c6fad767c73297ab365,"SC 2005/03/09

svn path=/trunk/matplotlib/; revision=1054",N/A,03/09/2005 12:55:05 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/3f20c60c060b2efc2b308c6fad767c73297ab365,7649865
9979a0bf96466b25e184cf21d5cba454ce6b2934,"SC 2005/03/09

svn path=/trunk/matplotlib/; revision=1053",N/A,03/08/2005 08:32:07 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/9979a0bf96466b25e184cf21d5cba454ce6b2934,7649311
8732b799d47665c1e91a01c2278847891c9e74ec,"SC 2005/03/09

svn path=/trunk/matplotlib/; revision=1052",N/A,03/08/2005 04:35:42 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/8732b799d47665c1e91a01c2278847891c9e74ec,7651409
7b9eac2b109b8325b12aba8d99a07487542bdf29,"SC 2005/03/08

svn path=/trunk/matplotlib/; revision=1051",N/A,03/08/2005 02:23:18 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/7b9eac2b109b8325b12aba8d99a07487542bdf29,7651017
